ErrorModel	Score
0.4	56335.809315
0.2	62361.044355
0.8	72875.816875
0.5	62431.530275
0.35	62350.252695
0.425	57622.754588
0.3875	55773.457365
0.36875	55007.473004
0.359375	54557.011275
0.3546875	58980.290826
0.71875	74203.915148
0.53671875	68025.900268
0.445703125	60423.445623
0.4001953125	58759.688635
0.37744140625	57610.345836
0.366064453125	54639.752879
0.360375976562	58111.971814
0.357531738281	54918.662035
0.358953857422	54810.150911
0.359664916992	54093.447781
0.360020446777	57493.917489
0.179832458496	47742.332380
