OG	geneID	spc
OG0000000	102404341	Bbub
OG0000000	102412752	Bbub
OG0000000	102413428	Bbub
OG0000000	102414399	Bbub
OG0000000	102411450	Bbub
OG0000000	102389499	Bbub
OG0000000	102392428	Bbub
OG0000000	102400663	Bbub
OG0000000	102402411	Bbub
OG0000000	102408478	Bbub
OG0000000	102409993	Bbub
OG0000000	102410005	Bbub
OG0000000	112587924	Bbub
OG0000000	102414965	Bbub
OG0000000	102409122	Bbub
OG0000000	102407809	Bbub
OG0000000	102389641	Bbub
OG0000000	102408379	Bbub
OG0000000	102410999	Bbub
OG0000000	102413318	Bbub
OG0000000	102177790	Chir
OG0000000	102172226	Chir
OG0000000	102172676	Chir
OG0000000	102171395	Chir
OG0000000	102173518	Chir
OG0000000	102186170	Chir
OG0000000	102180587	Chir
OG0000000	108633414	Chir
OG0000000	102184017	Chir
OG0000000	102178318	Chir
OG0000000	102179758	Chir
OG0000000	102181083	Chir
OG0000000	102180845	Chir
OG0000000	102179187	Chir
OG0000000	102185323	Chir
OG0000000	102184572	Chir
OG0000000	102178584	Chir
OG0000000	102182181	Chir
OG0000000	102181912	Chir
OG0000000	102183280	Chir
OG0000000	113896537	Hbin
OG0000000	113887707	Hbin
OG0000000	113887723	Hbin
OG0000000	113887683	Hbin
OG0000000	113887731	Hbin
OG0000000	113881706	Hbin
OG0000000	113881694	Hbin
OG0000000	113881696	Hbin
OG0000000	113881704	Hbin
OG0000000	113881697	Hbin
OG0000000	113881692	Hbin
OG0000000	113881702	Hbin
OG0000000	113881698	Hbin
OG0000000	113881690	Hbin
OG0000000	113881691	Hbin
OG0000000	113881699	Hbin
OG0000000	113881693	Hbin
OG0000000	113891894	Hbin
OG0000000	113891914	Hbin
OG0000000	113895600	Hbin
OG0000000	113878432	Hbin
OG0000000	113902110	Hbin
OG0000000	113881701	Hbin
OG0000000	113881700	Hbin
OG0000000	520120	Hbta
OG0000000	615043	Hbta
OG0000000	506306	Hbta
OG0000000	537985	Hbta
OG0000000	615091	Hbta
OG0000000	525512	Hbta
OG0000000	100295221	Hbta
OG0000000	616868	Hbta
OG0000000	529646	Hbta
OG0000000	616627	Hbta
OG0000000	614958	Hbta
OG0000000	787465	Hbta
OG0000000	104975676	Hbta
