yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
3017	P58876
3017	A0A024QZZ7
8340	Q99880
8341	Q99877
8341	A0A024RCJ9
102724334	P57053
85236	O60814
85236	A0A024RCL8
3017,8339,8347,8343,8346,8344	P62807
8339,8347,8343,8346,8344	B2R4S9
8345	Q93079
8348	P23527
128312	Q8N257
440689	Q5QNW6
8349	Q16778
8970	P06899
8970	A0A024RCJ2
3018	P33778
8342	Q99879
3467	P05000
221613	Q96QV6
317772	Q8IUE6
55766	Q9BTM1
55766	A0A024RAS2
723790,8337	Q6FI13
8338	Q16777
8335,3012	P04908
8335,3012	Q08AJ9
8969	B2R5B3
8330,8336,8332,8969,8329	P0C0S8
8330,8336,8332,8969,8329	A4FTV9
8331	Q99878
85235	Q96KK5
85235	A3KPC7
3013	P20671
3013	B2R5B6
8334	Q93077
8334	A0A024R017
92815	Q7L7L0
440093	Q6NXT2
3021,3020	P84243
3021,3020	B2R4P9
8356,8351,8355,8358,8968,8357,8352,8353,8354,8350	P68431
126961,333932,653604	Q71DI3
8290	Q16695
26648	Q6IFN5
286887	P48668
3854	P04259
3853	P02538
3853	A0A0S2Z428
3852	P13647
9119	O95678
338785	Q5XKE5
3851	P19013
3848	P04264
3849	P35908
3850	P12035
51350	Q01546
219968	A6NL26
441608	Q8NH48
441608	A0A126GVH3
390190	Q96R09
219965	Q8NGF7
219965	A0A126GVL8
390191	Q96R08
112714	Q6PEY2
7278,113457	P0DPH7
7278,113457	P0DPH8
7278,113457	Q1ZYQ1
7846	Q71U36
10376	P68363
84790	Q9BQE3
84790	B7Z1K5
84790	F5H5D3
7277	P68366
79861	A6NHL2
51807	Q9NY65
26333	O14581
26333	A0A126GVR5
100129543	Q6ZMV8
148198	A6NK75
57615	Q9P255
284443	Q6ZR52
163227	Q8IYN0
80264	Q9H8G1
80264	A8K360
80264	Q2NKJ9
148206	Q96N38
148206	A0A087WU35
170959	Q8TF32
170959	A0A024R7Q8
109504726,51351	Q03924
51427	Q9UII5
51427	A0A024R5Y9
51427	A0A087WYK5
51427	A0A0B4J2G0
51427	Q8WVL4
171392	Q8TD23
7639	Q03923
7639	Q49A12
148213	Q96N22
7594	P17038
7594	A0A024R7P7
7594	A0A087WSW2
163223	Q8N7Q3
388523	P0DKX0
7757	O43345
7757	M0QYK4
730087	A6NNF4
730087	E9PLI7
730087	F1T0F3
9534	O75437
9534	A0A087WZJ7
9534	A0A087X0A2
9534	B4E0L9
9534	F5H2M4
9534	Q7Z2R1
7644	Q05481
113835	Q9Y2Q1
353088	Q86V71
168374	Q03936
168374	C9IZS8
168374	V9HVY7
100287226	A6NN14
7652	A8MXY4
7562	P17019
7697	P52744
7697	A0A0A0MRG3
7697	A0A0A0MT90
7697	A2RRP7
7697	C9JHF6
10793	Q14593
340252	Q8NEM1
100129842	O75373
7643	Q03938
199777	Q68DY1
81931	P35789
81931	Q6NS90
440515	Q5JVG8
56242	O75346
90649	Q96H40
90649	Q4G180
168417	Q8IYX0
730291	P0CB33
441234	A6NP11
90827	Q96JC4
152687	Q8IYB9
152687	A0A075B7G3
152687	A0A075B7G4
152687	B4DU56
152687	B4DX79
170960	Q8TF20
654254	B4DXR9
7700	Q15928
7700	D6RIY0
7700	Q4W5N2
255403	Q3SXZ3
255403	Q658L4
7748	O14628
442319	A8MUV8
728927	B4DX44
57116	Q8IW36
91120	O95780
91120	B3KUX2
91120	B9EG95
162655	Q8TB69
26492	Q6IF36
219865	Q8NG78
219865	A0A126GVX5
219865	A0A126GW95
26494	Q15617
26494	A0A126GVX6
125962	Q8NGA0
125962	A0A126GVS6
10381	Q13509
10381	Q53G92
84617	Q9BUF5
84617	B3KS31
84617	B4E386
84617	K7EJ64
81027	Q9H4B7
347733	Q9BVA1
347733	A0A384MEE3
7280	Q13885
10383	P68371
347688	Q3ZCM7
10382	P04350
203068	P07437
203068	B4DMJ5
203068	B4DQN9
203068	B4DY90
203068	Q5ST81
203068	Q5SU16
219493	Q8NGP9
219493	A0A126GVM6
390148	Q8NH69
3456	P01574
6323	P35498
6326	Q99250
6328	Q9NY46
6328	A0A590UJH3
6328	Q9C007
6335	Q15858
6334	Q9UQD0
6334	Q6B4S4
6329	P35499
6331	Q14524
6331	A0A0A0MT39
6331	E9PG18
6331	E9PHB6
6331	H9KVD2
6331	K4DIA1
6331	Q86V90
6336	Q9Y5Y9
346528,402317	Q8NGT9
401427	Q96R45
401427	A0A126GWD8
79541	O95047
79541	A0A126GVW2
392138	A4D2G3
392138	A0A126GVV5
393046	Q96R48
393046	A0A126GW49
442361	Q6IF42
442361	A0A126GW45
346525	Q8NGT7
135941	Q96R47
135941	A0A126GVB0
8359,8367,8363,8361,8366,8362,8365,8368,8364,8370,8294,121504,8360	P62805
8359,8367,8363,8361,8366,8362,8365,8368,8364,8370,8294,121504,8360	B2R4R0
26740	Q8NGS2
26740	A0A126GW18
347168	Q8NGS3
347168	A0A126GWP9
26219	Q8NGS1
26219	A0A126GW06
820	P49913
820	A0A384NPR0
820	J3KNB4
22989	Q9Y2K3
57644	A7E2Y1
4624	P13533
4625	P12883
8735	Q9UKX3
4621	P11055
4621	Q5GJ67
4626	P13535
4620	Q9UKX2
4622	Q9Y623
4619	P12882
138881	Q8NGR8
138881	A0A126GVC5
345651	Q562R1
71	P63261
60	P60709
60	Q1KLZ0
58	P68133
59	P62736
59	D2JYH4
72	P63267
70	P68032
70	B3KPP5
26683,729759,81399	Q6IEY1
26683,729759,81399	A0A126GV92
441308	O95013
390054	Q9H2C5
390054	A0A126GWD2
23538	Q9UKL2
254786	Q9NZP0
254786	A0A126GW44
386674	P60371
386675	P60409
386685	P60413
56105	Q9Y5H2
26025	O60330
56108	Q9Y5G6
56106	Q9Y5H3
56107	Q9Y5G4
9708	Q9Y5G5
56110	Q9Y5G8
56111	Q9Y5G9
56109	Q9Y5G7
56112	Q9Y5H0
56113	Q9Y5H1
56114	Q9Y5H4
56097	Q9Y5F6
56100	Q9Y5F9
56099	Q9Y5F8
56101	Q9Y5G0
8641	Q9UN71
56103	Q9Y5G2
56102	Q9Y5G1
56104	Q9Y5G3
390199	Q8NGE8
390199	A0A126GVP8
219986	Q8NGI4
219986	A0A126GVQ9
390197	Q8NGI6
390197	A0A126GVJ1
124538	P58180
124538	A0A126GWK0
26689	Q15615
22852	Q9UPS8
22852	E7ESJ3
130075	Q8NGU2
130075	A0A126GVB1
135924	Q8NGT5
119749	A6NHA9
283092	Q8NGP0
476	P05023
477	P50993
477	A0A0S2Z3W6
480	Q13733
478	P13637
478	Q53ES0
479	P54707
479	B4E0R9
495	P20648
495	A0A384MR29
495	Q658V6
8389	Q9UM77
8387	P30953
8388	P47887
8388	A0A126GW81
1282	P02462
1282	A5PKV2
1287	P29400
1287	A7MBN3
1287	Q49AM6
1285	Q01955
1284	P08572
1284	A0A024RDW8
1288	Q14031
1288	A0A087WZY5
1288	A8MXH5
1288	A8VPY0
1288	B2RTX6
1288	B7ZMM7
1288	F5H3Q5
1286	P53420
3821	P26715
3822	P26717
3823	Q07444
8302	O43908
341416	Q9NZP2
341416	A0A126GW05
403284	A6NDL8
126541	Q8NGA5
126541	A0A126GVV2
26532	O60404
26532	A0A126GW93
120066	Q8WZ94
120066	A0A126GVE6
219473	Q8NH51
3303	B3KTT5
3303,3304	P0DMV8
3303,3304	P0DMV9
3303,3304	A8K5I0
3306	P54652
3306	A0A024R6B5
3310	P17066
3310	A0A384NKX5
3310	B3KSM6
3305	P34931
3305	A0A1U9X7W7
3312	P11142
3312	Q53HF2
3312	V9HW22
12	P01011
12	A0A024R6P0
26538	O60403
26538	A0A126GWJ7
26539	Q9Y4A9
26539	A0A126GVU5
284433	Q8NGA6
284433	A0A126GWE9
390275	Q8NGG7
115361	Q96PP9
163351	Q6ZN66
163351	B4DRX0
163351	B4E1U2
114571	Q8IVM8
387601	Q6T423
283238	Q8N4F4
387775	Q63ZE4
3882	Q14532
100653049	A0A140TA62
100653049,3885	O76011
3881	Q15323
3883	O76009
3884	Q14525
125115	Q6A162
144983	Q32P51
144983	A0A024QZ98
3178	P09651
3178	A0A024RAZ7
3178	A0A024RB53
220988	P51991
220988	A0A384NL63
220988	B4DDB6
387748	Q8NGI3
196335	Q8NH76
219477	Q8NGP2
81168	Q8NGG0
81168	A0A126GVE3
26246	Q8NH16
26246	A0A126GW34
81466	Q8NG80
81466	A0A126GWR8
391190	Q8NGY9
391192	Q8NG85
642623	P0CB47
6317	P29508
6318	P48594
6318	Q9BYF7
441639	Q8NGE7
441639	A0A126GW01
56656	Q9NQN1
219858	Q8NGG6
219858	A0A126GWS7
26493	Q15620
26493	A0A126GW73
144125	Q9H205
144125	A0A126GVD0
338755	A6NM03
