FAMILY,Bbub_pvalues
PTHR46090,0.000310784 
PTHR43243,0.000312863 
PTHR24242,0.000402974 
PTHR19944,0.000593089 
PTHR31866,0.000734541 
PTHR11214,0.00125308 
PTHR24410,0.00132475 
PTHR10554,0.00207257 
PTHR11431,0.00207257 
PTHR13943,0.00207257 
PTHR26450,0.00216786 
PTHR10666,0.00400773 
PTHR23115,0.00400773 
PTHR10072,0.00559938 
PTHR10245,0.00559938 
PTHR10544,0.00559938 
PTHR11241,0.00559938 
PTHR11374,0.00559938 
PTHR11502,0.00559938 
PTHR11710,0.00559938 
PTHR11843,0.00559938 
PTHR11921,0.00559938 
PTHR12010,0.00559938 
PTHR12013,0.00559938 
PTHR12046,0.00559938 
PTHR12258,0.00559938 
PTHR12309,0.00559938 
PTHR12843,0.00559938 
PTHR12928,0.00559938 
PTHR13168,0.00559938 
PTHR13382,0.00559938 
PTHR13456,0.00559938 
PTHR13987,0.00559938 
PTHR14741,0.00559938 
PTHR14932,0.00559938 
PTHR15420,0.00559938 
PTHR15451,0.00559938 
PTHR15581,0.00559938 
PTHR15922,0.00559938 
PTHR15967,0.00559938 
PTHR16076,0.00559938 
PTHR16260,0.00559938 
PTHR16423,0.00559938 
PTHR16501,0.00559938 
PTHR17098,0.00559938 
PTHR20995,0.00559938 
PTHR21399,0.00559938 
PTHR21517,0.00559938 
PTHR21732,0.00559938 
PTHR22618,0.00559938 
PTHR23212,0.00559938 
PTHR24281,0.00559938 
PTHR28603,0.00559938 
PTHR31046,0.00559938 
PTHR31841,0.00559938 
PTHR31905,0.00559938 
PTHR31940,0.00559938 
PTHR32017,0.00559938 
PTHR35860,0.00559938 
PTHR43172,0.00559938 
PTHR43176,0.00559938 
PTHR43429,0.00559938 
PTHR43775,0.00559938 
PTHR46141,0.00559938 
PTHR46346,0.00559938 
PTHR46542,0.00559938 
PTHR47115,0.00559938 
PTHR24044,0.00647701 
PTHR12317,0.00942291 
PTHR45690,0.00942291 
PTHR10293,0.0111988 
PTHR10358,0.0111988 
PTHR10921,0.0111988 
PTHR11082,0.0111988 
PTHR11183,0.0111988 
PTHR11449,0.0111988 
PTHR12219,0.0111988 
PTHR12377,0.0111988 
PTHR12430,0.0111988 
PTHR12448,0.0111988 
PTHR12638,0.0111988 
PTHR12688,0.0111988 
PTHR13336,0.0111988 
PTHR13457,0.0111988 
PTHR13523,0.0111988 
PTHR13946,0.0111988 
PTHR14145,0.0111988 
PTHR14339,0.0111988 
PTHR14399,0.0111988 
PTHR14493,0.0111988 
PTHR15049,0.0111988 
PTHR15124,0.0111988 
PTHR16716,0.0111988 
PTHR17005,0.0111988 
PTHR21713,0.0111988 
PTHR22605,0.0111988 
PTHR23158,0.0111988 
PTHR31663,0.0111988 
PTHR37457,0.0111988 
PTHR42912,0.0111988 
PTHR43340,0.0111988 
PTHR43795,0.0111988 
PTHR43836,0.0111988 
PTHR46006,0.0111988 
PTHR46742,0.0111988 
PTHR47729,0.0111988 
PTHR10553,0.0167948 
PTHR10634,0.0167948 
PTHR10809,0.0167948 
PTHR11010,0.0167948 
PTHR11143,0.0167948 
PTHR11544,0.0167948 
PTHR11655,0.0167948 
PTHR11727,0.0167948 
PTHR12479,0.0167948 
PTHR13924,0.0167948 
PTHR13968,0.0167948 
PTHR13989,0.0167948 
PTHR14003,0.0167948 
PTHR16148,0.0167948 
PTHR23111,0.0167948 
PTHR23338,0.0167948 
PTHR23348,0.0167948 
PTHR23415,0.0167948 
PTHR24299,0.0167948 
PTHR24368,0.0167948 
PTHR45822,0.0167948 
PTHR45869,0.0167948 
PTHR48068,0.0167948 
PTHR11738,0.0206191 
PTHR10306,0.0223841 
PTHR10811,0.0223841 
PTHR10869,0.0223841 
PTHR11034,0.0223841 
PTHR11073,0.0223841 
PTHR11371,0.0223841 
PTHR11528,0.0223841 
PTHR11908,0.0223841 
PTHR12669,0.0223841 
PTHR12832,0.0223841 
PTHR13848,0.0223841 
PTHR19269,0.0223841 
PTHR19970,0.0223841 
PTHR22913,0.0223841 
PTHR23260,0.0223841 
PTHR23333,0.0223841 
PTHR24050,0.0223841 
PTHR31813,0.0223841 
PTHR43948,0.0223841 
PTHR11258,0.0279638 
PTHR11475,0.0279638 
PTHR11515,0.0279638 
PTHR23282,0.0279638 
PTHR45739,0.0279638 
PTHR10131,0.0335308 
PTHR10662,0.0335308 
PTHR10824,0.0335308 
PTHR10924,0.0335308 
PTHR11640,0.0335308 
PTHR12587,0.0335308 
PTHR15123,0.0335308 
PTHR45638,0.0335308 
PTHR48034,0.0335308 
PTHR11639,0.0344768 
PTHR10151,0.0390826 
PTHR10484,0.0390826 
PTHR14754,0.0390826 
PTHR23324,0.0390826 
PTHR42693,0.0390826 
PTHR10083,0.0446167 
PTHR11533,0.0446167 
PTHR12322,0.0446167 
