orthogroup_ID,PANTHER_ID,geneID,spc
OG0002598,PTHR13817,540561,Hbta
OG0002607,PTHR45888,506805,Hbta
OG0002636,PTHR46730,504986,Hbta
OG0002645,PTHR46769,537895,Hbta
OG0002652,PTHR45891,510844,Hbta
OG0002657,PTHR19325,781282,Hbta
OG0002661,PTHR22590,534849,Hbta
OG0002665,PTHR11289,507069,Hbta
OG0002679,PTHR24020,530657,Hbta
OG0002692,PTHR10574,506387,Hbta
OG0002725,PTHR34755,539515,Hbta
OG0002768,PTHR13167,789183,Hbta
OG0002802,PTHR22804,280985,Hbta
OG0002815,PTHR17271,533979,Hbta
OG0002816,PTHR10336,519037,Hbta
OG0002819,PTHR14042,514520,Hbta
OG0002824,PTHR19327,538893,Hbta
OG0002828,PTHR24075,538416,Hbta
OG0002854,PTHR13902,506520,Hbta
OG0002856,PTHR10663,522232,Hbta
OG0002895,PTHR46049,281935,Hbta
OG0002900,PTHR14025,513626,Hbta
OG0002924,PTHR46127,107131175,Hbta
OG0002927,PTHR23175,538584,Hbta
OG0002934,PTHR13020,541118,Hbta
OG0002972,PTHR45915,509799,Hbta
OG0002976,PTHR23389,513059,Hbta
OG0002984,PTHR22050,540861,Hbta
OG0002986,PTHR24115,532276,Hbta
OG0002999,PTHR10063,504985,Hbta
OG0003005,PTHR22619,533041,Hbta
OG0003015,PTHR10082,506995,Hbta
OG0003017,PTHR46766,530282,Hbta
OG0003035,PTHR23412,528436,Hbta
OG0003038,PTHR24115,534832,Hbta
OG0003053,PTHR11216,510879,Hbta
OG0003092,PTHR15711,535132,Hbta
OG0003174,PTHR10574,100296635,Hbta
OG0003179,PTHR12546,527366,Hbta
OG0003197,PTHR12271,513209,Hbta
OG0003202,PTHR15722,100139697,Hbta
OG0003204,PTHR23034,505843,Hbta
OG0003206,PTHR15742,538547,Hbta
OG0003207,PTHR12429,528485,Hbta
OG0003213,PTHR23039,517882,Hbta
OG0003217,PTHR13578,522091,Hbta
OG0003232,PTHR22774,520720,Hbta
OG0003264,PTHR22917,280867,Hbta
OG0003265,PTHR23069,518785,Hbta
OG0003270,PTHR14043,524491,Hbta
OG0003297,PTHR46802,508442,Hbta
OG0003314,PTHR35668,617568,Hbta
OG0003332,PTHR24044,514207,Hbta
OG0003335,PTHR15729,515490,Hbta
OG0003346,PTHR19134,540575,Hbta
OG0003353,PTHR13578,100140419,Hbta
OG0003379,PTHR18957,532280,Hbta
OG0003383,PTHR45734,540153,Hbta
OG0003384,PTHR45924,504530,Hbta
OG0003419,PTHR19134,508150,Hbta
OG0003434,PTHR47961,505814,Hbta
OG0003458,PTHR10658,523999,Hbta
OG0003481,PTHR15535,519047,Hbta
OG0003495,PTHR12752,532887,Hbta
OG0003570,PTHR12352,521854,Hbta
OG0003571,PTHR24020,519501,Hbta
OG0003605,PTHR15128,510012,Hbta
OG0003615,PTHR18916,511045,Hbta
OG0003655,PTHR23210,781834,Hbta
OG0003657,PTHR45807,512484,Hbta
OG0003662,PTHR12801,512048,Hbta
OG0003678,PTHR13800,100295930,Hbta
OG0003710,PTHR24006,531139,Hbta
OG0003721,PTHR11254,510003,Hbta
OG0003757,PTHR47819,100337125,Hbta
OG0003762,PTHR45627,281601,Hbta
OG0003781,PTHR13793,538601,Hbta
OG0003790,PTHR45799,359718,Hbta
OG0003794,PTHR12658,281515,Hbta
OG0003802,PTHR12587,505162,Hbta
OG0003822,PTHR12549,785815,Hbta
OG0003852,PTHR23220,100140050,Hbta
OG0003869,PTHR13800,100299596,Hbta
OG0003892,PTHR33667,785686,Hbta
OG0003917,PTHR45876,532363,Hbta
OG0004046,PTHR22826,100139125,Hbta
OG0004049,PTHR14826,541209,Hbta
OG0004050,PTHR45752,782395,Hbta
OG0004052,PTHR12276,505551,Hbta
OG0004074,PTHR15964,504800,Hbta
OG0004080,PTHR13800,541151,Hbta
OG0004086,PTHR14949,100301009,Hbta
OG0004096,PTHR24123,529062,Hbta
OG0004121,PTHR45627,788151,Hbta
OG0004134,PTHR10407,508291,Hbta
OG0004169,PTHR13800,527638,Hbta
OG0004174,PTHR13843,527829,Hbta
OG0004225,PTHR45836,100336662,Hbta
OG0004231,PTHR13948,505749,Hbta
OG0004260,PTHR22957,539734,Hbta
OG0004263,PTHR14890,783611,Hbta
OG0004306,PTHR23240,504377,Hbta
OG0004325,PTHR10241,539545,Hbta
OG0004339,PTHR12308,532126,Hbta
OG0004343,PTHR46179,789590,Hbta
OG0004359,PTHR22957,535927,Hbta
OG0004410,PTHR12898,504613,Hbta
OG0004468,PTHR31514,790110,Hbta
OG0004474,PTHR15741,783217,Hbta
OG0004508,PTHR13268,521416,Hbta
OG0004522,PTHR23072,511496,Hbta
OG0004544,PTHR14453,510532,Hbta
OG0004554,PTHR14499,523858,Hbta
OG0004569,PTHR12876,540948,Hbta
OG0004586,PTHR13720,512904,Hbta
OG0004604,PTHR16151,538833,Hbta
OG0004694,PTHR15109,538655,Hbta
OG0004701,PTHR45718,541222,Hbta
OG0004703,PTHR11347,281971,Hbta
OG0004707,PTHR46392,534684,Hbta
OG0004723,PTHR44809,533191,Hbta
OG0004764,PTHR12250,525095,Hbta
OG0004771,PTHR15491,531522,Hbta
OG0004774,PTHR19863,512354,Hbta
OG0004775,PTHR46958,514582,Hbta
OG0004805,PTHR23159,536433,Hbta
OG0004810,PTHR13743,509626,Hbta
OG0004825,PTHR22621,615055,Hbta
OG0004835,PTHR10073,527039,Hbta
OG0004840,PTHR48092,100848466,Hbta
OG0004850,PTHR46465,522574,Hbta
OG0004878,PTHR11636,512840,Hbta
OG0004879,PTHR14880,525806,Hbta
OG0004884,PTHR14690,618101,Hbta
OG0004886,PTHR24376,538686,Hbta
OG0004895,PTHR12124,535340,Hbta
OG0004912,PTHR23167,517259,Hbta
OG0004941,PTHR23036,497205,Hbta
OG0004998,PTHR46725,518878,Hbta
OG0004999,PTHR12153,790464,Hbta
OG0005001,PTHR13302,532845,Hbta
OG0005056,PTHR11689,520210,Hbta
OG0005074,PTHR24372,507053,Hbta
OG0005076,PTHR48012,522002,Hbta
OG0005103,PTHR13280,514313,Hbta
OG0005115,PTHR15593,515621,Hbta
OG0005118,PTHR24115,789523,Hbta
OG0005125,PTHR13720,512380,Hbta
OG0005128,PTHR47612,518825,Hbta
OG0005136,PTHR24366,516507,Hbta
OG0005146,PTHR23180,515444,Hbta
OG0005156,PTHR14002,784894,Hbta
OG0005171,PTHR10046,541085,Hbta
OG0005192,PTHR42884,508744,Hbta
OG0005210,PTHR11972,531303,Hbta
OG0005225,PTHR23083,616909,Hbta
OG0005236,PTHR10050,537054,Hbta
OG0005247,PTHR15467,515040,Hbta
OG0005264,PTHR11640,618028,Hbta
OG0005286,PTHR11255,518523,Hbta
OG0005331,PTHR21581,615707,Hbta
OG0005345,PTHR16267,100138311,Hbta
OG0005355,PTHR11347,526211,Hbta
OG0005370,PTHR15427,788927,Hbta
OG0005383,PTHR36864,527833,Hbta
OG0005406,PTHR10728,531209,Hbta
OG0005409,PTHR22589,513710,Hbta
OG0005436,PTHR23086,508819,Hbta
OG0005499,PTHR12214,521363,Hbta
OG0005504,PTHR19134,505285,Hbta
OG0005506,PTHR12131,505988,Hbta
OG0005513,PTHR24363,614899,Hbta
OG0005531,PTHR11347,506061,Hbta
OG0005565,PTHR11255,506348,Hbta
OG0005566,PTHR24217,101905578,Hbta
OG0005583,PTHR11636,101907028,Hbta
OG0005594,PTHR24064,614701,Hbta
OG0005651,PTHR14491,512359,Hbta
OG0005663,PTHR12687,508638,Hbta
OG0005680,PTHR12280,514589,Hbta
OG0005684,PTHR47085,539735,Hbta
OG0005695,PTHR24347,536110,Hbta
OG0005701,PTHR24255,522347,Hbta
OG0005713,PTHR10183,789674,Hbta
OG0005750,PTHR10050,617609,Hbta
OG0005769,PTHR24372,281553,Hbta
OG0005773,PTHR10909,510065,Hbta
OG0005776,PTHR12190,522905,Hbta
OG0005782,PTHR16830,615569,Hbta
OG0005794,PTHR15976,524306,Hbta
OG0005804,PTHR45817,281904,Hbta
OG0005836,PTHR46150,789472,Hbta
OG0005857,PTHR12619,538070,Hbta
OG0005861,PTHR11733,529060,Hbta
OG0005870,PTHR13455,508384,Hbta
OG0005882,PTHR23343,280963,Hbta
OG0005896,PTHR16055,534094,Hbta
OG0005902,PTHR10878,523325,Hbta
OG0005912,PTHR14392,613747,Hbta
OG0005930,PTHR45668,504618,Hbta
OG0005949,PTHR18934,513148,Hbta
OG0005978,PTHR13246,100847654,Hbta
OG0005993,PTHR11590,617881,Hbta
OG0005999,PTHR14609,782050,Hbta
OG0006015,PTHR23113,529375,Hbta
OG0006017,PTHR15583,783335,Hbta
OG0006030,PTHR45858,539933,Hbta
OG0006042,PTHR20929,526444,Hbta
OG0006076,PTHR13269,616114,Hbta
OG0006079,PTHR16271,539922,Hbta
OG0006105,PTHR24115,533161,Hbta
OG0006128,PTHR18947,526516,Hbta
OG0006150,PTHR12121,508197,Hbta
OG0006154,PTHR16254,509611,Hbta
OG0006162,PTHR15919,787318,Hbta
OG0006175,PTHR21119,529537,Hbta
OG0006186,PTHR15651,539591,Hbta
OG0006188,PTHR13318,519695,Hbta
OG0006208,PTHR16001,615969,Hbta
OG0006217,PTHR19956,100851924,Hbta
OG0006233,PTHR16830,504848,Hbta
OG0006309,PTHR11347,511665,Hbta
OG0006311,PTHR24023,505942,Hbta
OG0006317,PTHR11707,505486,Hbta
OG0006342,PTHR11037,519918,Hbta
OG0006382,PTHR14611,100847961,Hbta
OG0006383,PTHR13161,509208,Hbta
OG0006386,PTHR45617,510688,Hbta
