FAMILY,Bbub_pvalues,Bbub,Chir,Hbin,Hbta,Hsap,Sscr
PTHR24376,0.000209606 ,28,31,32,42,139,36
PTHR20515,0.000391495 ,2,4,3,10,6,3
PTHR13809,0.00335128 ,9,11,11,11,11,9
PTHR24221,0.00398601 ,10,12,12,12,10,13
PTHR10903,0.00617602 ,13,32,15,15,9,8
PTHR11875,0.00699667 ,14,19,19,14,18,14
PTHR26452,0.00732533 ,88,86,96,104,35,182
PTHR23226,0.0101871 ,51,54,54,56,89,49
PTHR24300,0.0138744 ,21,30,25,23,19,15
PTHR24064,0.0161664 ,23,25,25,26,22,25
PTHR10772,0.0166748 ,0,0,0,1,1,1
PTHR12441,0.0166748 ,0,1,1,1,1,1
PTHR13046,0.0166748 ,0,0,0,1,1,1
PTHR13259,0.0166748 ,0,1,1,1,1,1
PTHR13722,0.0166748 ,0,1,0,1,1,1
PTHR13813,0.0166748 ,0,0,1,2,3,0
PTHR14054,0.0166748 ,0,1,1,1,1,1
PTHR14299,0.0166748 ,0,2,1,1,0,1
PTHR15029,0.0166748 ,0,0,0,1,1,1
PTHR15222,0.0166748 ,0,1,1,1,1,1
PTHR16771,0.0166748 ,0,1,2,2,0,1
PTHR17070,0.0166748 ,0,0,1,1,1,1
PTHR17102,0.0166748 ,0,1,1,1,1,0
PTHR21341,0.0166748 ,0,1,1,1,0,0
PTHR21520,0.0166748 ,0,0,0,1,1,1
PTHR21738,0.0166748 ,0,2,1,1,1,1
PTHR24018,0.0166748 ,0,1,1,1,1,1
PTHR24033,0.0166748 ,0,0,1,0,1,1
PTHR24244,0.0166748 ,0,1,1,1,1,1
PTHR31094,0.0166748 ,0,0,1,1,1,1
PTHR31107,0.0166748 ,0,1,1,1,1,1
PTHR31368,0.0166748 ,0,0,1,1,3,1
PTHR32014,0.0166748 ,0,1,1,1,1,1
PTHR33668,0.0166748 ,0,1,1,1,1,1
PTHR35971,0.0166748 ,0,1,1,1,1,1
PTHR35974,0.0166748 ,0,1,1,1,1,1
PTHR36296,0.0166748 ,0,1,1,1,1,1
PTHR36874,0.0166748 ,0,1,0,1,1,1
PTHR37875,0.0166748 ,0,1,1,1,1,0
PTHR37876,0.0166748 ,0,1,1,1,2,0
PTHR38495,0.0166748 ,0,1,1,1,0,1
PTHR40708,0.0166748 ,0,0,1,1,1,0
PTHR40711,0.0166748 ,0,0,1,0,1,0
PTHR40714,0.0166748 ,0,0,1,1,1,1
PTHR45871,0.0166748 ,0,1,1,1,1,1
PTHR47106,0.0166748 ,0,1,1,1,1,1
PTHR47174,0.0166748 ,0,1,1,1,1,2
PTHR47617,0.0166748 ,0,1,1,0,1,1
PTHR47884,0.0166748 ,0,1,1,1,1,1
PTHR24068,0.0185864 ,25,28,27,27,29,26
PTHR16675,0.0265288 ,31,40,34,37,23,15
PTHR10290,0.0328576 ,1,2,1,2,2,2
PTHR11024,0.0328576 ,1,3,2,2,2,2
PTHR11904,0.0328576 ,1,2,2,2,1,1
PTHR12538,0.0328576 ,1,2,3,3,2,1
PTHR13042,0.0328576 ,1,2,2,2,1,1
PTHR13232,0.0328576 ,1,2,2,2,2,2
PTHR13291,0.0328576 ,1,2,1,2,2,2
PTHR13502,0.0328576 ,1,2,2,2,2,1
PTHR14356,0.0328576 ,1,2,2,2,2,2
PTHR14889,0.0328576 ,1,2,2,2,1,1
PTHR15096,0.0328576 ,1,2,2,2,1,1
PTHR15192,0.0328576 ,1,2,2,2,2,2
PTHR15296,0.0328576 ,1,1,2,2,2,2
PTHR16088,0.0328576 ,1,2,1,2,2,1
PTHR16171,0.0328576 ,1,2,1,2,3,2
PTHR16742,0.0328576 ,1,2,2,2,2,2
PTHR19424,0.0328576 ,1,2,2,2,2,2
PTHR20968,0.0328576 ,1,2,2,2,2,2
PTHR20981,0.0328576 ,1,4,4,2,1,1
PTHR21227,0.0328576 ,1,2,1,2,2,2
PTHR23102,0.0328576 ,1,2,2,2,2,2
PTHR23194,0.0328576 ,1,2,1,2,2,2
PTHR23424,0.0328576 ,1,2,2,2,3,2
PTHR24071,0.0328576 ,1,5,2,2,1,1
PTHR31054,0.0328576 ,1,2,2,2,2,2
PTHR33721,0.0328576 ,1,3,2,2,2,2
PTHR34038,0.0328576 ,1,2,3,2,1,1
PTHR45715,0.0328576 ,1,2,2,2,2,2
PTHR45981,0.0328576 ,1,2,2,2,2,1
PTHR46131,0.0328576 ,1,2,2,2,3,2
PTHR46468,0.0328576 ,1,4,2,3,1,1
PTHR46945,0.0328576 ,1,2,1,2,2,1
PTHR24103,0.0384212 ,39,42,42,41,58,37
PTHR26451,0.0399927 ,40,43,51,40,30,51
PTHR10962,0.0485655 ,2,3,3,3,3,3
PTHR12203,0.0485655 ,2,3,3,3,3,2
PTHR14987,0.0485655 ,2,3,3,3,3,1
PTHR15556,0.0485655 ,2,3,3,3,3,2
PTHR16146,0.0485655 ,2,7,2,3,2,5
PTHR21184,0.0485655 ,2,3,3,3,2,2
PTHR23318,0.0485655 ,2,3,3,2,3,3
PTHR33589,0.0485655 ,2,3,2,3,2,3
PTHR43899,0.0485655 ,2,3,3,3,2,3
PTHR46490,0.0485655 ,2,3,3,3,3,3
PTHR46780,0.0485655 ,2,3,3,3,3,3
