orthogroup_ID,logLikelihood_Null_hypothesis,Likelihood_Alternative_hypothesis,log_diff,p.values,fdr,entrez,species,UniProtKB_ID,PANTHER_ID,seqnames,start,end,width,strand,gene_id,gene_name,gene_biotype,description
OG0003678,-9639.670092,-9356.975835,565.388514000002,2.827586678217351e-125,3.7454213139667033e-121,54795,Hsap,Q8TD43,PTHR13800,19,49157741,49211836,54096,+,ENSG00000130529,TRPM4,protein_coding,transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]
OG0003678,-9639.670092,-9356.975835,565.388514000002,2.827586678217351e-125,3.7454213139667033e-121,54795,Hsap,B4DIX5,NA,19,49157741,49211836,54096,+,ENSG00000130529,TRPM4,protein_coding,transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,Q9ULV3,PTHR15491,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,A0A024R885,NA,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,B4E0A3,NA,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,B7Z3U7,NA,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,F5H2X7,NA,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004771,-7155.244104,-6920.918369,468.6514700000007,3.1491228128158974e-104,8.342656155711875e-101,25792,Hsap,Q9BTG3,NA,9,128161251,128204383,43133,-,ENSG00000148337,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:16744]
OG0004569,-6290.967538,-6120.387773,341.159529999999,1.783679616200495e-76,2.9533275245239695e-73,9683,Hsap,O75113,PTHR12876,16,48538726,48620148,81423,-,ENSG00000102921,N4BP1,protein_coding,NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]
OG0007170,-5160.605119,-4990.316152,340.577933999999,2.3876857842574698e-76,3.51414287758605e-73,2161,Hsap,P00748,PTHR24264,5,177402141,177409564,7424,-,ENSG00000131187,F12,protein_coding,coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]
OG0007170,-5160.605119,-4990.316152,340.577933999999,2.3876857842574698e-76,3.51414287758605e-73,2161,Hsap,Q8IZZ5,NA,5,177402141,177409564,7424,-,ENSG00000131187,F12,protein_coding,coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,Q96PH1,PTHR11972,15,68930525,69062762,132238,+,ENSG00000255346,NOX5,protein_coding,NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,Q96PH1,PTHR11972,15,68930525,69062762,132238,+,ENSG00000255346,NOX5,protein_coding,NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,A3QRJ0,NA,15,68930525,69062762,132238,+,ENSG00000255346,NOX5,protein_coding,NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]
OG0005210,-5891.53022,-5733.67086,315.71871999999894,6.200776617854566e-71,8.213548708010157e-68,79400,Hsap,A3QRJ0,NA,15,68930525,69062762,132238,+,ENSG00000255346,NOX5,protein_coding,NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]
OG0009608,-3857.833383,-3702.240819,311.1851280000001,6.025930280569769e-70,5.70139089260194e-67,84901,Hsap,Q8NCF5,PTHR47187,16,28950807,28967097,16291,+,ENSG00000176953,NFATC2IP,protein_coding,nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]
OG0009608,-3857.833383,-3702.240819,311.1851280000001,6.025930280569769e-70,5.70139089260194e-67,84901,Hsap,Q8NCF5,PTHR47187,16,28950807,28967097,16291,+,ENSG00000176953,NFATC2IP,protein_coding,nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,P48740,PTHR24255,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,P48740,PTHR24255,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,P48740,PTHR24255,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,F8W876,NA,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,F8W876,NA,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0005701,-6165.143667,-6017.941882,294.4035700000004,2.7293091589331834e-66,2.1266134776017027e-63,5648,Hsap,F8W876,NA,3,187217285,187292022,74738,-,ENSG00000127241,MASP1,protein_coding,mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]
OG0007568,-4517.522533,-4372.876447,289.2921720000013,3.54614322284142e-65,2.609567396097636e-62,3937,Hsap,Q13094,PTHR14098,5,170246233,170297815,51583,-,ENSG00000043462,LCP2,protein_coding,lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]
OG0007568,-4517.522533,-4372.876447,289.2921720000013,3.54614322284142e-65,2.609567396097636e-62,3937,Hsap,Q13094,PTHR14098,5,170246233,170297815,51583,-,ENSG00000043462,LCP2,protein_coding,lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]
OG0007568,-4517.522533,-4372.876447,289.2921720000013,3.54614322284142e-65,2.609567396097636e-62,3937,Hsap,Q13094,PTHR14098,5,170246233,170297815,51583,-,ENSG00000043462,LCP2,protein_coding,lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]
OG0007568,-4517.522533,-4372.876447,289.2921720000013,3.54614322284142e-65,2.609567396097636e-62,3937,Hsap,Q13094,PTHR14098,5,170246233,170297815,51583,-,ENSG00000043462,LCP2,protein_coding,lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]
OG0006532,-4472.988175,-4328.963203,288.0499440000003,6.613490493839075e-65,4.610647109546968e-62,79414,Hsap,Q9BTN0,PTHR45842,19,35935358,35946624,11267,+,ENSG00000126243,LRFN3,protein_coding,leucine rich repeat and fibronectin type III domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28370]
OG0006175,-5960.975063,-5820.681384,280.58735799999886,2.796218660995142e-63,1.6835778356155298e-60,25966,Hsap,Q9Y426,PTHR21119,21,41885112,41954018,68907,-,ENSG00000157617,C2CD2,protein_coding,C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]
