orthogroup_ID,geneID,spcies,UniProtKB_ID,PANTHER_ID
OG0000000,3017,Hsap,P58876,PTHR23428
OG0000000,3017,Hsap,A0A024QZZ7,NA
OG0000000,3017,Hsap,P62807,PTHR23428
OG0000000,8340,Hsap,Q99880,PTHR23428
OG0000000,8339,Hsap,P62807,PTHR23428
OG0000000,8339,Hsap,B2R4S9,NA
OG0000000,8347,Hsap,P62807,PTHR23428
OG0000000,8347,Hsap,B2R4S9,NA
OG0000000,8343,Hsap,P62807,PTHR23428
OG0000000,8343,Hsap,B2R4S9,NA
OG0000000,8346,Hsap,P62807,PTHR23428
OG0000000,8346,Hsap,B2R4S9,NA
OG0000000,8341,Hsap,Q99877,PTHR23428
OG0000000,8341,Hsap,A0A024RCJ9,NA
OG0000000,102724334,Hsap,P57053,PTHR23428
OG0000000,54145,Hsap,NA,NA
OG0000000,85236,Hsap,O60814,PTHR23428
OG0000000,85236,Hsap,A0A024RCL8,NA
OG0000000,8344,Hsap,P62807,PTHR23428
OG0000000,8344,Hsap,B2R4S9,NA
OG0000000,8345,Hsap,Q93079,PTHR23428
OG0000000,8348,Hsap,P23527,PTHR23428
OG0000000,128312,Hsap,Q8N257,PTHR23428
OG0000000,440689,Hsap,Q5QNW6,PTHR23428
OG0000000,8349,Hsap,Q16778,PTHR23428
OG0000000,8970,Hsap,P06899,PTHR23428
OG0000000,8970,Hsap,A0A024RCJ2,NA
OG0000000,3018,Hsap,P33778,PTHR23428
OG0000000,8342,Hsap,Q99879,PTHR23428
OG0000001,3467,Hsap,P05000,PTHR11691
OG0000002,221613,Hsap,Q96QV6,PTHR23430
OG0000002,317772,Hsap,Q8IUE6,PTHR23430
OG0000002,55766,Hsap,Q9BTM1,PTHR23430
OG0000002,55766,Hsap,A0A024RAS2,NA
OG0000002,723790,Hsap,Q6FI13,PTHR23430
OG0000002,8337,Hsap,Q6FI13,PTHR23430
OG0000002,8338,Hsap,Q16777,PTHR23430
OG0000002,8335,Hsap,P04908,PTHR23430
OG0000002,8335,Hsap,Q08AJ9,NA
OG0000002,3012,Hsap,P04908,PTHR23430
OG0000002,3012,Hsap,Q08AJ9,NA
OG0000002,8330,Hsap,P0C0S8,PTHR23430
OG0000002,8330,Hsap,A4FTV9,NA
OG0000002,8336,Hsap,P0C0S8,PTHR23430
OG0000002,8336,Hsap,A4FTV9,NA
OG0000002,8332,Hsap,P0C0S8,PTHR23430
OG0000002,8332,Hsap,A4FTV9,NA
OG0000002,8969,Hsap,B2R5B3,NA
OG0000002,8969,Hsap,P0C0S8,PTHR23430
OG0000002,8969,Hsap,A4FTV9,NA
OG0000002,8329,Hsap,P0C0S8,PTHR23430
OG0000002,8329,Hsap,A4FTV9,NA
OG0000002,8331,Hsap,Q99878,PTHR23430
OG0000002,85235,Hsap,Q96KK5,PTHR23430
OG0000002,85235,Hsap,A3KPC7,NA
OG0000002,3013,Hsap,P20671,PTHR23430
OG0000002,3013,Hsap,B2R5B6,NA
OG0000002,8334,Hsap,Q93077,PTHR23430
OG0000002,8334,Hsap,A0A024R017,NA
OG0000002,92815,Hsap,Q7L7L0,PTHR23430
OG0000003,3021,Hsap,P84243,PTHR11426
OG0000003,3021,Hsap,B2R4P9,NA
OG0000003,440093,Hsap,Q6NXT2,PTHR11426
OG0000003,340096,Hsap,NA,NA
OG0000003,391769,Hsap,NA,NA
OG0000003,3020,Hsap,P84243,PTHR11426
OG0000003,3020,Hsap,B2R4P9,NA
OG0000003,8356,Hsap,P68431,PTHR11426
OG0000003,8351,Hsap,P68431,PTHR11426
OG0000003,8355,Hsap,P68431,PTHR11426
OG0000003,8358,Hsap,P68431,PTHR11426
OG0000003,8968,Hsap,P68431,PTHR11426
OG0000003,8357,Hsap,P68431,PTHR11426
OG0000003,8352,Hsap,P68431,PTHR11426
OG0000003,8353,Hsap,P68431,PTHR11426
OG0000003,8354,Hsap,P68431,PTHR11426
OG0000003,8350,Hsap,P68431,PTHR11426
OG0000003,126961,Hsap,Q71DI3,PTHR11426
OG0000003,333932,Hsap,Q71DI3,PTHR11426
OG0000003,440686,Hsap,NA,NA
OG0000003,653604,Hsap,Q71DI3,PTHR11426
OG0000003,8290,Hsap,Q16695,PTHR11426
OG0000006,26648,Hsap,Q6IFN5,PTHR48001
OG0000008,286887,Hsap,P48668,PTHR45616
OG0000008,3854,Hsap,P04259,PTHR45616
OG0000008,3853,Hsap,P02538,PTHR45616
OG0000008,3853,Hsap,A0A0S2Z428,NA
OG0000008,3852,Hsap,P13647,PTHR45616
OG0000008,9119,Hsap,O95678,PTHR45616
OG0000008,338785,Hsap,Q5XKE5,PTHR45616
OG0000008,3851,Hsap,P19013,PTHR45616
OG0000008,3848,Hsap,P04264,PTHR45616
OG0000008,3849,Hsap,P35908,PTHR45616
OG0000008,3850,Hsap,P12035,PTHR45616
OG0000008,51350,Hsap,Q01546,PTHR45616
OG0000009,219968,Hsap,A6NL26,PTHR48018
OG0000009,441608,Hsap,Q8NH48,PTHR48018
OG0000009,441608,Hsap,A0A126GVH3,NA
OG0000009,390190,Hsap,Q96R09,PTHR48018
OG0000009,219965,Hsap,Q8NGF7,PTHR48018
OG0000009,219965,Hsap,A0A126GVL8,NA
OG0000009,390191,Hsap,Q96R08,PTHR48018
OG0000011,112714,Hsap,Q6PEY2,PTHR11588
OG0000011,7278,Hsap,P0DPH7,PTHR11588
OG0000011,7278,Hsap,P0DPH8,PTHR11588
OG0000011,7278,Hsap,Q1ZYQ1,NA
OG0000011,113457,Hsap,P0DPH7,PTHR11588
OG0000011,113457,Hsap,P0DPH8,PTHR11588
OG0000011,113457,Hsap,Q1ZYQ1,NA
OG0000011,80086,Hsap,NA,NA
OG0000011,7846,Hsap,Q71U36,PTHR11588
OG0000011,10376,Hsap,P68363,PTHR11588
OG0000011,84790,Hsap,Q9BQE3,PTHR11588
OG0000011,84790,Hsap,B7Z1K5,NA
OG0000011,84790,Hsap,F5H5D3,NA
OG0000011,7277,Hsap,P68366,PTHR11588
OG0000011,79861,Hsap,A6NHL2,PTHR11588
OG0000011,51807,Hsap,Q9NY65,PTHR11588
OG0000013,26333,Hsap,O14581,PTHR48001
OG0000013,26333,Hsap,A0A126GVR5,NA
OG0000015,100129543,Hsap,Q6ZMV8,PTHR24384
OG0000015,148198,Hsap,A6NK75,PTHR24384
OG0000015,57615,Hsap,Q9P255,PTHR24384
OG0000015,440519,Hsap,NA,NA
OG0000015,148203,Hsap,NA,NA
OG0000015,284443,Hsap,Q6ZR52,PTHR24376
OG0000015,163227,Hsap,Q8IYN0,PTHR24384
OG0000015,80264,Hsap,Q9H8G1,PTHR24384
OG0000015,80264,Hsap,A8K360,NA
OG0000015,80264,Hsap,Q2NKJ9,NA
OG0000015,148206,Hsap,Q96N38,PTHR24384
OG0000015,148206,Hsap,A0A087WU35,NA
OG0000015,170959,Hsap,Q8TF32,PTHR24384
OG0000015,170959,Hsap,A0A024R7Q8,NA
OG0000015,109504726,Hsap,Q03924,PTHR24384
OG0000015,51351,Hsap,Q03924,PTHR24384
