Desc	FAMILY	Bbub	Chir	Hbin	Hbta	Hsap	Sscr
(null)	PTHR10003	3	3	3	3	3	3
(null)	PTHR10005	3	3	3	3	3	3
(null)	PTHR10006	1	1	1	1	1	1
(null)	PTHR10010	3	3	3	3	3	3
(null)	PTHR10012	1	1	1	1	1	1
(null)	PTHR10013	1	1	1	1	1	1
(null)	PTHR10015	14	6	8	8	10	29
(null)	PTHR10019	1	1	1	1	1	1
(null)	PTHR10024	15	15	15	15	16	15
(null)	PTHR10026	8	9	8	8	8	8
(null)	PTHR10027	4	4	4	4	4	4
(null)	PTHR10029	2	2	2	2	1	1
(null)	PTHR10030	2	2	2	2	2	2
(null)	PTHR10031	3	3	5	3	3	3
(null)	PTHR10032	2	2	2	2	2	2
(null)	PTHR10033	2	2	2	2	2	2
(null)	PTHR10035	1	1	1	1	1	1
(null)	PTHR10036	4	5	4	4	4	3
(null)	PTHR10037	13	13	14	13	13	13
(null)	PTHR10041	3	3	3	3	3	3
(null)	PTHR10044	5	5	6	5	5	5
(null)	PTHR10046	1	1	1	1	1	1
(null)	PTHR10048	10	10	10	10	10	10
(null)	PTHR10050	3	3	3	3	3	3
(null)	PTHR10052	1	1	1	1	1	1
(null)	PTHR10055	1	1	1	1	1	1
(null)	PTHR10057	2	2	2	2	2	2
(null)	PTHR10058	1	1	1	1	1	1
(null)	PTHR10059	1	1	1	1	1	1
(null)	PTHR10060	1	1	1	1	1	1
(null)	PTHR10061	1	1	1	1	1	1
(null)	PTHR10063	3	3	3	3	3	3
(null)	PTHR10064	3	4	3	3	2	2
(null)	PTHR10066	2	2	2	1	1	1
(null)	PTHR10067	1	1	1	1	1	1
(null)	PTHR10068	4	4	4	4	2	4
(null)	PTHR10070	1	1	1	1	1	1
(null)	PTHR10071	6	6	6	6	6	6
(null)	PTHR10072	2	1	1	1	1	1
(null)	PTHR10073	4	4	4	4	4	4
(null)	PTHR10075	16	17	16	16	16	16
(null)	PTHR10077	1	1	1	1	1	1
(null)	PTHR10078	8	9	8	8	8	9
(null)	PTHR10082	9	9	9	9	9	9
(null)	PTHR10083	9	8	6	8	2	2
(null)	PTHR10088	1	1	1	1	1	1
(null)	PTHR10091	1	1	1	1	1	1
(null)	PTHR10093	1	1	1	2	1	1
(null)	PTHR10098	1	1	1	1	1	1
(null)	PTHR10099	1	1	1	1	1	1
(null)	PTHR10102	1	1	1	1	1	1
(null)	PTHR10104	5	5	5	5	5	5
(null)	PTHR10105	1	1	1	1	1	1
(null)	PTHR10106	3	3	3	3	3	3
(null)	PTHR10109	1	1	1	1	1	1
(null)	PTHR10110	11	11	11	12	11	11
(null)	PTHR10113	1	1	1	1	1	1
(null)	PTHR10114	1	1	1	2	1	1
(null)	PTHR10117	6	6	6	6	6	6
(null)	PTHR10120	1	1	1	1	1	1
(null)	PTHR10121	1	1	1	1	1	1
(null)	PTHR10122	1	1	2	1	1	1
(null)	PTHR10125	7	7	7	7	7	7
(null)	PTHR10126	3	3	3	3	3	3
(null)	PTHR10127	3	3	3	3	3	3
(null)	PTHR10129	7	7	7	7	7	7
(null)	PTHR10130	2	2	2	2	2	2
(null)	PTHR10131	7	6	6	6	6	6
(null)	PTHR10132	2	2	2	2	2	2
(null)	PTHR10133	2	2	2	2	2	2
(null)	PTHR10134	1	1	1	1	1	1
(null)	PTHR10136	2	1	2	2	3	2
(null)	PTHR10137	2	2	2	2	2	2
(null)	PTHR10138	1	1	1	1	1	1
(null)	PTHR10139	1	1	1	1	1	1
(null)	PTHR10142	1	1	1	1	1	1
(null)	PTHR10145	1	1	1	1	1	1
(null)	PTHR10146	1	1	1	1	1	1
(null)	PTHR10150	1	1	1	1	1	1
(null)	PTHR10151	8	7	7	7	7	7
(null)	PTHR10153	4	4	4	4	4	4
(null)	PTHR10155	13	13	13	13	14	12
(null)	PTHR10156	1	1	1	1	1	1
(null)	PTHR10157	2	2	2	2	2	2
(null)	PTHR10159	10	10	10	10	10	10
(null)	PTHR10160	1	1	2	1	1	1
(null)	PTHR10161	1	1	1	1	1	1
(null)	PTHR10164	2	2	2	2	2	2
(null)	PTHR10165	10	10	10	10	10	10
(null)	PTHR10166	5	5	5	5	5	5
(null)	PTHR10169	2	2	2	2	2	2
(null)	PTHR10170	1	3	1	1	1	1
(null)	PTHR10173	2	2	2	2	2	2
(null)	PTHR10174	5	5	5	5	5	5
(null)	PTHR10176	2	2	2	2	2	2
(null)	PTHR10177	20	20	19	20	19	20
(null)	PTHR10179	11	11	11	11	13	10
(null)	PTHR10182	2	2	2	2	2	2
(null)	PTHR10183	12	12	12	12	13	13
(null)	PTHR10185	3	3	3	3	3	3
(null)	PTHR10188	3	3	3	3	3	3
(null)	PTHR10190	4	4	4	4	4	4
(null)	PTHR10192	1	1	1	1	1	1
(null)	PTHR10194	10	10	10	11	11	10
(null)	PTHR10196	6	6	5	6	5	5
(null)	PTHR10199	5	5	5	5	5	5
(null)	PTHR10201	22	21	22	23	24	21
(null)	PTHR10202	2	2	2	2	2	2
(null)	PTHR10204	2	2	2	2	2	2
(null)	PTHR10206	11	8	11	10	1	13
(null)	PTHR10210	5	5	5	5	5	5
(null)	PTHR10217	8	8	8	8	8	7
(null)	PTHR10218	16	16	16	16	16	16
(null)	PTHR10219	5	5	5	5	5	5
(null)	PTHR10221	2	2	2	2	2	2
(null)	PTHR10223	1	1	1	1	1	1
(null)	PTHR10224	1	1	1	1	2	1
(null)	PTHR10225	2	2	2	2	2	2
(null)	PTHR10226	4	4	4	4	4	4
(null)	PTHR10229	1	1	1	1	1	2
(null)	PTHR10231	5	5	5	5	5	5
(null)	PTHR10233	1	1	1	1	1	0
(null)	PTHR10237	1	1	1	1	1	1
(null)	PTHR10239	2	2	3	2	2	2
(null)	PTHR10240	1	1	1	1	1	1
(null)	PTHR10241	4	4	4	4	4	4
(null)	PTHR10242	1	1	1	1	1	1
(null)	PTHR10245	2	1	1	1	1	1
(null)	PTHR10250	4	4	4	4	4	4
(null)	PTHR10252	4	4	4	4	4	4
(null)	PTHR10253	1	1	1	1	1	1
(null)	PTHR10256	2	2	2	2	2	2
(null)	PTHR10257	5	5	5	5	5	5
(null)	PTHR10258	4	4	4	3	4	4
(null)	PTHR10259	1	1	1	1	1	1
(null)	PTHR10261	2	2	2	2	2	2
(null)	PTHR10263	2	2	2	3	2	2
(null)	PTHR10264	4	4	4	4	4	4
(null)	PTHR10265	2	2	2	2	2	2
(null)	PTHR10266	1	1	1	1	1	1
(null)	PTHR10267	1	1	1	1	1	1
(null)	PTHR10269	5	5	5	5	5	5
(null)	PTHR10270	12	12	12	12	13	14
(null)	PTHR10271	4	4	4	4	5	4
(null)	PTHR10272	2	2	2	2	2	2
(null)	PTHR10276	1	1	1	1	1	1
(null)	PTHR10278	1	1	1	1	1	1
(null)	PTHR10279	3	3	3	3	3	3
(null)	PTHR10281	5	5	5	5	5	4
(null)	PTHR10283	5	5	5	5	5	5
(null)	PTHR10285	6	6	6	6	6	6
(null)	PTHR10286	2	2	2	2	2	2
(null)	PTHR10288	13	13	13	12	12	13
(null)	PTHR10290	1	2	1	2	2	2
(null)	PTHR10291	1	1	1	1	1	1
(null)	PTHR10292	2	2	2	2	3	2
(null)	PTHR10293	3	2	2	2	2	2
(null)	PTHR10300	3	3	3	3	2	3
(null)	PTHR10302	1	1	1	1	1	1
(null)	PTHR10306	5	4	4	4	4	4
(null)	PTHR10309	1	1	1	1	1	1
(null)	PTHR10314	1	2	1	1	2	1
(null)	PTHR10316	4	4	4	4	4	4
(null)	PTHR10317	1	1	1	1	1	1
(null)	PTHR10322	1	1	1	1	1	1
(null)	PTHR10328	1	1	1	1	1	1
(null)	PTHR10331	2	2	2	2	4	2
(null)	PTHR10332	4	4	4	4	4	4
(null)	PTHR10333	5	5	5	5	5	5
(null)	PTHR10334	13	13	12	13	15	13
(null)	PTHR10335	2	2	2	2	2	2
(null)	PTHR10336	16	16	15	15	15	16
(null)	PTHR10337	5	5	5	5	5	6
(null)	PTHR10338	6	6	6	6	6	7
(null)	PTHR10339	6	6	7	11	4	4
(null)	PTHR10340	3	3	3	3	3	3
(null)	PTHR10342	3	3	3	3	3	2
(null)	PTHR10343	2	2	2	2	2	2
(null)	PTHR10344	2	2	2	2	2	2
(null)	PTHR10345	1	1	1	1	1	1
(null)	PTHR10350	1	1	1	1	1	1
(null)	PTHR10351	2	2	2	2	2	2
(null)	PTHR10352	7	7	7	8	7	7
(null)	PTHR10353	4	4	4	4	4	6
(null)	PTHR10356	2	2	2	2	2	2
(null)	PTHR10357	1	1	1	1	1	1
(null)	PTHR10358	3	2	2	2	2	2
(null)	PTHR10361	6	6	6	7	6	6
(null)	PTHR10362	1	1	1	1	1	1
(null)	PTHR10363	1	1	1	1	1	1
(null)	PTHR10366	4	5	4	4	5	4
(null)	PTHR10367	2	2	2	2	2	2
(null)	PTHR10369	1	1	2	3	3	1
(null)	PTHR10370	1	1	1	1	1	1
(null)	PTHR10371	1	1	1	1	1	1
(null)	PTHR10372	7	7	7	7	7	7
(null)	PTHR10373	4	4	4	4	4	4
(null)	PTHR10374	1	1	1	1	1	1
(null)	PTHR10378	2	2	2	2	2	2
(null)	PTHR10379	3	3	3	3	3	3
(null)	PTHR10381	1	1	1	1	1	1
(null)	PTHR10383	5	5	5	5	5	5
(null)	PTHR10388	2	2	3	2	2	2
(null)	PTHR10390	7	7	7	7	7	8
(null)	PTHR10394	1	1	1	1	1	1
(null)	PTHR10395	1	1	1	1	1	1
(null)	PTHR10398	1	1	1	1	1	1
(null)	PTHR10404	6	6	5	6	7	6
(null)	PTHR10405	6	5	6	6	5	5
(null)	PTHR10407	2	2	2	2	2	2
(null)	PTHR10408	3	3	3	3	3	3
(null)	PTHR10410	4	5	4	4	4	4
(null)	PTHR10411	3	3	3	3	3	3
(null)	PTHR10412	1	1	1	1	1	1
(null)	PTHR10414	3	3	3	3	3	3
(null)	PTHR10416	1	1	1	1	1	1
(null)	PTHR10417	2	2	2	2	2	2
(null)	PTHR10418	1	1	3	1	2	1
(null)	PTHR10422	1	1	0	1	1	1
(null)	PTHR10423	1	1	1	1	1	1
(null)	PTHR10424	4	5	5	5	9	6
(null)	PTHR10426	1	1	1	1	1	1
(null)	PTHR10429	1	1	1	1	1	1
(null)	PTHR10430	1	1	1	1	1	1
(null)	PTHR10434	2	2	2	2	2	2
(null)	PTHR10438	3	3	2	3	3	2
(null)	PTHR10441	1	1	1	1	1	1
(null)	PTHR10442	3	1	1	1	1	2
(null)	PTHR10443	3	3	3	2	3	3
(null)	PTHR10445	1	1	1	3	1	1
(null)	PTHR10454	13	12	13	13	14	13
(null)	PTHR10457	2	2	2	2	2	2
(null)	PTHR10458	1	1	1	1	1	1
(null)	PTHR10459	3	3	3	3	3	3
(null)	PTHR10460	3	3	3	3	3	4
(null)	PTHR10462	6	6	6	6	4	6
(null)	PTHR10464	2	2	2	2	2	2
(null)	PTHR10465	2	2	2	2	2	2
(null)	PTHR10466	2	2	3	3	1	2
(null)	PTHR10468	1	1	1	1	1	1
(null)	PTHR10472	2	2	3	2	2	2
(null)	PTHR10476	4	3	4	4	5	4
(null)	PTHR10480	3	3	3	3	3	3
(null)	PTHR10484	8	5	8	6	13	7
(null)	PTHR10485	2	2	2	2	2	2
(null)	PTHR10488	1	1	1	1	1	1
(null)	PTHR10489	23	24	26	24	22	22
(null)	PTHR10491	1	1	1	1	1	1
(null)	PTHR10494	1	1	1	1	1	1
(null)	PTHR10496	1	3	1	1	1	1
(null)	PTHR10497	1	1	1	1	1	1
(null)	PTHR10498	2	2	2	2	2	2
(null)	PTHR10500	2	2	2	2	2	2
(null)	PTHR10501	3	4	4	4	4	4
(null)	PTHR10502	13	13	13	13	14	12
(null)	PTHR10504	4	4	4	4	4	4
(null)	PTHR10505	4	4	4	4	3	6
(null)	PTHR10507	1	1	1	1	1	1
(null)	PTHR10509	1	1	1	1	1	1
(null)	PTHR10510	3	4	3	3	3	3
(null)	PTHR10511	2	2	2	2	2	2
(null)	PTHR10513	4	4	4	4	4	4
(null)	PTHR10514	2	2	2	2	2	2
(null)	PTHR10516	5	6	4	3	4	4
(null)	PTHR10517	5	5	4	5	5	4
(null)	PTHR10519	3	3	3	3	3	3
(null)	PTHR10520	1	1	1	1	1	1
(null)	PTHR10522	2	2	2	2	2	2
(null)	PTHR10527	6	6	6	6	6	6
(null)	PTHR10528	4	4	4	4	4	4
(null)	PTHR10529	8	8	9	9	9	8
(null)	PTHR10533	3	4	2	4	3	3
(null)	PTHR10534	1	1	1	1	1	1
(null)	PTHR10535	1	1	1	1	1	1
(null)	PTHR10536	1	1	1	1	1	1
(null)	PTHR10537	1	1	1	1	2	1
(null)	PTHR10539	1	1	1	1	1	1
(null)	PTHR10540	3	4	4	4	3	3
(null)	PTHR10541	1	1	1	1	1	1
(null)	PTHR10543	3	3	3	3	3	3
(null)	PTHR10544	2	1	1	1	1	1
(null)	PTHR10545	3	3	3	2	3	3
(null)	PTHR10546	2	2	2	2	2	2
(null)	PTHR10547	0	0	0	0	2	0
(null)	PTHR10551	3	3	3	3	3	3
(null)	PTHR10552	1	1	1	1	1	1
(null)	PTHR10553	4	2	2	3	2	2
(null)	PTHR10554	7	5	5	5	5	4
(null)	PTHR10555	2	2	2	2	2	2
(null)	PTHR10556	4	4	4	4	4	4
(null)	PTHR10558	1	1	1	1	1	1
(null)	PTHR10559	3	3	3	3	3	3
(null)	PTHR10560	1	1	1	1	1	1
(null)	PTHR10562	4	3	3	4	4	5
(null)	PTHR10569	1	1	1	1	1	0
(null)	PTHR10570	3	3	3	3	3	3
(null)	PTHR10571	1	1	1	1	1	1
(null)	PTHR10572	1	1	1	1	1	1
(null)	PTHR10573	1	1	1	1	1	1
